dataset,tag,qr,seed,spec_hash,run_directory,status,exit_code,entrance_version,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,ped_planned_window,ped_cohort_observed_by_end,ped_fcd_first_window,ped_never_observed,ped_stock_100,ped_stock_339,robot_planned_window,robot_cohort_observed_by_end,robot_fcd_first_window,robot_never_observed,robot_stock_100,robot_stock_339,count_caveat,wall_seconds,peak_sumo_rss_bytes
Development,TPE-taipei-idx12521-0-5|qp21,0,2,6f103cd5d034b51505009b6a390131b4069974bdcdb74ebb289d48e14235f6ac,runs\6f103cd5d034b51505009b6a390131b4069974bdcdb74ebb289d48e14235f6ac,COMPLETED_DIAGNOSTIC,0,assumption-reference-v1,1.2241691973969995,13830,0.1646428571428598,84,85,1.0119047619047619,84,84,84,0,15,14,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",3.172000000020489,21868544
Development,TPE-taipei-idx12521-0-5|qp21,0,0,4d735e2710d92fd01571b72cf3b7e6000ac31199fd00b3c482512f484dcfaf1e,runs\4d735e2710d92fd01571b72cf3b7e6000ac31199fd00b3c482512f484dcfaf1e,COMPLETED_DIAGNOSTIC,0,assumption-reference-v1,1.2454799009612334,13732,0.16347619047619488,84,85,1.0119047619047619,84,84,84,0,15,14,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",3.172000000020489,21786624
Development,TPE-taipei-idx12521-0-5|qp21,0,3,d1847ed453089552fad3a215dd2d0d05f4d87481187e5a812972f2d9fe162b4c,runs\d1847ed453089552fad3a215dd2d0d05f4d87481187e5a812972f2d9fe162b4c,COMPLETED_DIAGNOSTIC,0,assumption-reference-v1,1.215706310508045,14151,0.1684642857142888,84,81,0.9642857142857143,84,84,84,0,11,14,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",3.172000000020489,21794816
Development,TPE-taipei-idx12521-0-5|qp21,0,1,18624ee6ed2a5782997b025014663a5ab0caa5f3211885e3be987430ec3899ad,runs\18624ee6ed2a5782997b025014663a5ab0caa5f3211885e3be987430ec3899ad,COMPLETED_DIAGNOSTIC,0,assumption-reference-v1,1.2364940354960023,13748,0.16366666666667024,84,82,0.9761904761904762,84,84,84,0,14,16,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",3.172000000020489,21827584
Development,TPE-taipei-idx12521-0-5|qp21,0,4,93291fcc3ddeb07ae23d6d8265a0d48b68f8d36dab079f0f4f72ebadf1b36e74,runs\93291fcc3ddeb07ae23d6d8265a0d48b68f8d36dab079f0f4f72ebadf1b36e74,COMPLETED_DIAGNOSTIC,0,assumption-reference-v1,1.2851755114365133,13247,0.1577023809523842,84,84,1.0,84,84,84,0,14,14,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",3.156999999890104,21778432
Development,TPE-taipei-idx12521-0-5|qp21,0,6,340ea5a5f4d4f1a599c9bbfe1180eee0e87b833511b26253a8fd333ecb265193,runs\340ea5a5f4d4f1a599c9bbfe1180eee0e87b833511b26253a8fd333ecb265193,COMPLETED_DIAGNOSTIC,0,assumption-reference-v1,1.2786051243406313,13270,0.15797619047619346,84,82,0.9761904761904762,84,84,84,0,13,15,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",3.156999999890104,21786624
Development,TPE-taipei-idx12521-0-5|qp21,0,5,9423ee515d21c4afd8bba0e80fdc803e391fb8cb2dbcac0da4a625ba0ce17514,runs\9423ee515d21c4afd8bba0e80fdc803e391fb8cb2dbcac0da4a625ba0ce17514,COMPLETED_DIAGNOSTIC,0,assumption-reference-v1,1.2117322834645943,14097,0.16782142857143176,84,83,0.9880952380952381,84,84,84,0,14,15,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",3.1879999998491257,21835776
Development,TPE-taipei-idx12521-0-5|qp21,0,7,74ac66a602a8945779c508f0e10ba49f6b7964d4c75a3cea35e7e7f106b7a1e7,runs\74ac66a602a8945779c508f0e10ba49f6b7964d4c75a3cea35e7e7f106b7a1e7,COMPLETED_DIAGNOSTIC,0,assumption-reference-v1,1.2287891860799234,13908,0.1655714285714309,84,85,1.0119047619047619,84,84,84,0,15,14,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",3.1879999998491257,21913600
Development,TPE-taipei-idx12521-0-5|qp21,0,8,5272fb229a65ad5c6801547455d59b8c86924854c9c56e37d5de3e865fcff5dd,runs\5272fb229a65ad5c6801547455d59b8c86924854c9c56e37d5de3e865fcff5dd,COMPLETED_DIAGNOSTIC,0,assumption-reference-v1,1.2221930507394752,14131,0.16822619047619275,84,84,1.0,84,84,84,0,13,14,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",3.125,21897216
Development,TPE-taipei-idx12521-0-5|qp21,0,10,04da917d1e3360b4553aca6c6aada6830e80b28cde3bf2b689e00655f68b4d6d,runs\04da917d1e3360b4553aca6c6aada6830e80b28cde3bf2b689e00655f68b4d6d,COMPLETED_DIAGNOSTIC,0,assumption-reference-v1,1.257285576851937,13513,0.16086904761905008,84,85,1.0119047619047619,84,84,84,0,15,14,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",3.1409999998286366,21856256
